[quick] runs_dir = /root/runs/quick_phase1
[quick] image-size = 256
[quick] frames-per-video train/eval = 30/10
[quick] enumerating videos for the disjoint split ...
[quick] split: train=1400 val=300 test=300 (of 2000 total videos)
[quick] dataset sizes: train=124227 val=8160 test=8540
[quick] extracting features (val) ...
  [6175/8160] 8.87 images/s, ETA 224s
  [6200/8160] 8.87 images/s, ETA 221s
  [6225/8160] 8.88 images/s, ETA 218s
  [6250/8160] 8.88 images/s, ETA 215s
  [6275/8160] 8.87 images/s, ETA 213s
  [6300/8160] 8.87 images/s, ETA 210s
  [6325/8160] 8.87 images/s, ETA 207s
  [6350/8160] 8.88 images/s, ETA 204s
  [6375/8160] 8.88 images/s, ETA 201s
  [6400/8160] 8.88 images/s, ETA 198s
  [6425/8160] 8.88 images/s, ETA 195s
  [6450/8160] 8.87 images/s, ETA 193s
  [6475/8160] 8.89 images/s, ETA 190s
  [6500/8160] 8.89 images/s, ETA 187s
  [6525/8160] 8.89 images/s, ETA 184s
  [6550/8160] 8.87 images/s, ETA 181s
  [6575/8160] 8.88 images/s, ETA 178s
  [6600/8160] 8.88 images/s, ETA 176s
  [6625/8160] 8.89 images/s, ETA 173s
  [6650/8160] 8.89 images/s, ETA 170s
  [6675/8160] 8.89 images/s, ETA 167s
  [6700/8160] 8.88 images/s, ETA 164s
  [6725/8160] 8.88 images/s, ETA 162s
  [6750/8160] 8.88 images/s, ETA 159s
  [6775/8160] 8.88 images/s, ETA 156s
  [6800/8160] 8.86 images/s, ETA 153s
  [6825/8160] 8.86 images/s, ETA 151s
  [6850/8160] 8.88 images/s, ETA 148s
  [6875/8160] 8.87 images/s, ETA 145s
  [6900/8160] 8.87 images/s, ETA 142s
  [6925/8160] 8.88 images/s, ETA 139s
  [6950/8160] 8.87 images/s, ETA 136s
  [6975/8160] 8.87 images/s, ETA 134s
  [7000/8160] 8.87 images/s, ETA 131s
  [7025/8160] 8.87 images/s, ETA 128s
  [7050/8160] 8.87 images/s, ETA 125s
  [7075/8160] 8.88 images/s, ETA 122s
  [7100/8160] 8.88 images/s, ETA 119s
  [7125/8160] 8.88 images/s, ETA 117s
  [7150/8160] 8.88 images/s, ETA 114s
  [7175/8160] 8.88 images/s, ETA 111s
  [7200/8160] 8.89 images/s, ETA 108s
  [7225/8160] 8.89 images/s, ETA 105s
  [7250/8160] 8.88 images/s, ETA 103s
  [7275/8160] 8.88 images/s, ETA 100s
  [7300/8160] 8.88 images/s, ETA 97s
  [7325/8160] 8.88 images/s, ETA 94s
  [7350/8160] 8.88 images/s, ETA 91s
  [7375/8160] 8.87 images/s, ETA 88s
  [7400/8160] 8.87 images/s, ETA 86s
  [7425/8160] 8.88 images/s, ETA 83s
  [7450/8160] 8.90 images/s, ETA 80s
  [7475/8160] 8.90 images/s, ETA 77s
  [7500/8160] 8.91 images/s, ETA 74s
  [7525/8160] 8.91 images/s, ETA 71s
  [7550/8160] 8.91 images/s, ETA 68s
  [7575/8160] 8.91 images/s, ETA 66s
  [7600/8160] 8.91 images/s, ETA 63s
  [7625/8160] 8.91 images/s, ETA 60s
  [7650/8160] 8.93 images/s, ETA 57s
  [7675/8160] 8.93 images/s, ETA 54s
  [7700/8160] 8.92 images/s, ETA 52s
  [7725/8160] 8.91 images/s, ETA 49s
  [7750/8160] 8.92 images/s, ETA 46s
  [7775/8160] 8.92 images/s, ETA 43s
  [7800/8160] 8.90 images/s, ETA 40s
  [7825/8160] 8.91 images/s, ETA 38s
  [7850/8160] 8.91 images/s, ETA 35s
  [7875/8160] 8.92 images/s, ETA 32s
  [7900/8160] 8.92 images/s, ETA 29s
  [7925/8160] 8.92 images/s, ETA 26s
  [7950/8160] 8.91 images/s, ETA 24s
  [7975/8160] 8.92 images/s, ETA 21s
  [8000/8160] 8.93 images/s, ETA 18s
  [8025/8160] 8.93 images/s, ETA 15s
  [8050/8160] 8.93 images/s, ETA 12s
  [8075/8160] 8.92 images/s, ETA 10s
  [8100/8160] 8.93 images/s, ETA 7s
  [8125/8160] 8.95 images/s, ETA 4s
  [8150/8160] 8.95 images/s, ETA 1s
[quick] extracting features (test) ...
  [25/8540] 7.30 images/s, ETA 1166s
  [50/8540] 8.22 images/s, ETA 1033s
  [75/8540] 8.06 images/s, ETA 1051s
  [100/8540] 8.10 images/s, ETA 1042s
  [125/8540] 7.99 images/s, ETA 1053s
  [150/8540] 8.29 images/s, ETA 1013s
  [175/8540] 8.18 images/s, ETA 1023s
  [200/8540] 8.29 images/s, ETA 1006s
  [225/8540] 8.48 images/s, ETA 980s
  [250/8540] 8.42 images/s, ETA 984s
  [275/8540] 8.73 images/s, ETA 947s
  [300/8540] 8.91 images/s, ETA 925s
  [325/8540] 9.04 images/s, ETA 909s
  [350/8540] 8.89 images/s, ETA 921s
  [375/8540] 9.19 images/s, ETA 888s
  [400/8540] 9.05 images/s, ETA 899s
  [425/8540] 8.79 images/s, ETA 923s
  [450/8540] 8.59 images/s, ETA 942s
  [475/8540] 8.52 images/s, ETA 947s
  [500/8540] 8.74 images/s, ETA 920s
  [525/8540] 8.73 images/s, ETA 918s
  [550/8540] 8.73 images/s, ETA 915s
  [575/8540] 8.92 images/s, ETA 893s
  [600/8540] 8.81 images/s, ETA 902s
  [625/8540] 8.75 images/s, ETA 904s
  [650/8540] 8.77 images/s, ETA 899s
  [675/8540] 8.67 images/s, ETA 907s
  [700/8540] 8.70 images/s, ETA 901s
  [725/8540] 8.88 images/s, ETA 880s
  [750/8540] 8.92 images/s, ETA 873s
  [775/8540] 9.02 images/s, ETA 861s
  [800/8540] 8.99 images/s, ETA 861s
  [825/8540] 9.07 images/s, ETA 850s
  [850/8540] 9.00 images/s, ETA 855s
  [875/8540] 9.10 images/s, ETA 842s
  [900/8540] 9.13 images/s, ETA 837s
  [925/8540] 9.09 images/s, ETA 837s
  [950/8540] 9.03 images/s, ETA 841s
  [975/8540] 9.11 images/s, ETA 831s
  [1000/8540] 9.17 images/s, ETA 822s
  [1025/8540] 9.17 images/s, ETA 819s
  [1050/8540] 9.24 images/s, ETA 811s
  [1075/8540] 9.29 images/s, ETA 803s
  [1100/8540] 9.27 images/s, ETA 802s
  [1125/8540] 9.30 images/s, ETA 797s
  [1150/8540] 9.18 images/s, ETA 805s
  [1175/8540] 9.20 images/s, ETA 801s
  [1200/8540] 9.14 images/s, ETA 803s
  [1225/8540] 9.04 images/s, ETA 809s
  [1250/8540] 9.11 images/s, ETA 800s
  [1275/8540] 9.10 images/s, ETA 798s
  [1300/8540] 9.10 images/s, ETA 795s
  [1325/8540] 9.02 images/s, ETA 800s
  [1350/8540] 9.05 images/s, ETA 794s
  [1375/8540] 9.09 images/s, ETA 789s
  [1400/8540] 9.02 images/s, ETA 792s
  [1425/8540] 9.09 images/s, ETA 783s
  [1450/8540] 9.12 images/s, ETA 778s
  [1475/8540] 9.11 images/s, ETA 775s
  [1500/8540] 9.13 images/s, ETA 771s
  [1525/8540] 9.15 images/s, ETA 766s
  [1550/8540] 9.17 images/s, ETA 763s
  [1575/8540] 9.20 images/s, ETA 757s
  [1600/8540] 9.16 images/s, ETA 758s
  [1625/8540] 9.08 images/s, ETA 762s
  [1650/8540] 9.01 images/s, ETA 764s
  [1675/8540] 9.00 images/s, ETA 763s
  [1700/8540] 8.95 images/s, ETA 764s
  [1725/8540] 8.93 images/s, ETA 763s
  [1750/8540] 8.94 images/s, ETA 760s
  [1775/8540] 8.89 images/s, ETA 761s
  [1800/8540] 8.89 images/s, ETA 758s
  [1825/8540] 8.89 images/s, ETA 755s
  [1850/8540] 8.92 images/s, ETA 750s
  [1875/8540] 8.92 images/s, ETA 747s
  [1900/8540] 8.92 images/s, ETA 744s
  [1925/8540] 8.87 images/s, ETA 746s
  [1950/8540] 8.83 images/s, ETA 746s
  [1975/8540] 8.83 images/s, ETA 744s
  [2000/8540] 8.77 images/s, ETA 745s
  [2025/8540] 8.76 images/s, ETA 744s
  [2050/8540] 8.80 images/s, ETA 738s
  [2075/8540] 8.74 images/s, ETA 740s
  [2100/8540] 8.77 images/s, ETA 734s
  [2125/8540] 8.74 images/s, ETA 734s
  [2150/8540] 8.76 images/s, ETA 730s
  [2175/8540] 8.74 images/s, ETA 729s
  [2200/8540] 8.73 images/s, ETA 726s
  [2225/8540] 8.72 images/s, ETA 724s
  [2250/8540] 8.76 images/s, ETA 718s
  [2275/8540] 8.77 images/s, ETA 715s
  [2300/8540] 8.77 images/s, ETA 711s
  [2325/8540] 8.73 images/s, ETA 712s
  [2350/8540] 8.74 images/s, ETA 709s
  [2375/8540] 8.76 images/s, ETA 703s
  [2400/8540] 8.79 images/s, ETA 698s
  [2425/8540] 8.78 images/s, ETA 697s
  [2450/8540] 8.79 images/s, ETA 692s
  [2475/8540] 8.79 images/s, ETA 690s
  [2500/8540] 8.79 images/s, ETA 688s
  [2525/8540] 8.79 images/s, ETA 684s
  [2550/8540] 8.78 images/s, ETA 682s
  [2575/8540] 8.75 images/s, ETA 682s
  [2600/8540] 8.74 images/s, ETA 680s
  [2625/8540] 8.76 images/s, ETA 675s
  [2650/8540] 8.77 images/s, ETA 671s
  [2675/8540] 8.74 images/s, ETA 671s
  [2700/8540] 8.74 images/s, ETA 668s
  [2725/8540] 8.79 images/s, ETA 662s
  [2750/8540] 8.80 images/s, ETA 658s
  [2775/8540] 8.83 images/s, ETA 653s
  [2800/8540] 8.84 images/s, ETA 649s
  [2825/8540] 8.85 images/s, ETA 645s
  [2850/8540] 8.86 images/s, ETA 642s
  [2875/8540] 8.87 images/s, ETA 639s
  [2900/8540] 8.86 images/s, ETA 636s
  [2925/8540] 8.85 images/s, ETA 635s
  [2950/8540] 8.83 images/s, ETA 633s
  [2975/8540] 8.79 images/s, ETA 633s
  [3000/8540] 8.81 images/s, ETA 629s
  [3025/8540] 8.82 images/s, ETA 625s
  [3050/8540] 8.84 images/s, ETA 621s
  [3075/8540] 8.82 images/s, ETA 619s
  [3100/8540] 8.81 images/s, ETA 617s
  [3125/8540] 8.81 images/s, ETA 615s
  [3150/8540] 8.78 images/s, ETA 614s
  [3175/8540] 8.78 images/s, ETA 611s
  [3200/8540] 8.77 images/s, ETA 609s
  [3225/8540] 8.77 images/s, ETA 606s
  [3250/8540] 8.77 images/s, ETA 604s
  [3275/8540] 8.77 images/s, ETA 600s
  [3300/8540] 8.80 images/s, ETA 596s
  [3325/8540] 8.81 images/s, ETA 592s
  [3350/8540] 8.82 images/s, ETA 588s
  [3375/8540] 8.81 images/s, ETA 586s
  [3400/8540] 8.79 images/s, ETA 585s
  [3425/8540] 8.77 images/s, ETA 584s
  [3450/8540] 8.76 images/s, ETA 581s
  [3475/8540] 8.74 images/s, ETA 580s
  [3500/8540] 8.74 images/s, ETA 576s
  [3525/8540] 8.75 images/s, ETA 573s
  [3550/8540] 8.77 images/s, ETA 569s
  [3575/8540] 8.78 images/s, ETA 565s
  [3600/8540] 8.78 images/s, ETA 563s
  [3625/8540] 8.78 images/s, ETA 559s
  [3650/8540] 8.80 images/s, ETA 556s
  [3675/8540] 8.79 images/s, ETA 553s
  [3700/8540] 8.78 images/s, ETA 551s
  [3725/8540] 8.77 images/s, ETA 549s
  [3750/8540] 8.77 images/s, ETA 546s
  [3775/8540] 8.75 images/s, ETA 545s
  [3800/8540] 8.75 images/s, ETA 542s
  [3825/8540] 8.76 images/s, ETA 539s
  [3850/8540] 8.73 images/s, ETA 537s
  [3875/8540] 8.74 images/s, ETA 533s
  [3900/8540] 8.73 images/s, ETA 532s
  [3925/8540] 8.74 images/s, ETA 528s
  [3950/8540] 8.72 images/s, ETA 526s
  [3975/8540] 8.72 images/s, ETA 523s
  [4000/8540] 8.73 images/s, ETA 520s
  [4025/8540] 8.74 images/s, ETA 516s
  [4050/8540] 8.76 images/s, ETA 513s
  [4075/8540] 8.75 images/s, ETA 510s
  [4100/8540] 8.74 images/s, ETA 508s
  [4125/8540] 8.74 images/s, ETA 505s
  [4150/8540] 8.76 images/s, ETA 501s
  [4175/8540] 8.76 images/s, ETA 498s
  [4200/8540] 8.76 images/s, ETA 496s
  [4225/8540] 8.77 images/s, ETA 492s
  [4250/8540] 8.78 images/s, ETA 489s
  [4275/8540] 8.78 images/s, ETA 486s
  [4300/8540] 8.79 images/s, ETA 483s
  [4325/8540] 8.77 images/s, ETA 480s
  [4350/8540] 8.78 images/s, ETA 477s
  [4375/8540] 8.77 images/s, ETA 475s
  [4400/8540] 8.79 images/s, ETA 471s
  [4425/8540] 8.79 images/s, ETA 468s
  [4450/8540] 8.78 images/s, ETA 466s
  [4475/8540] 8.78 images/s, ETA 463s
  [4500/8540] 8.80 images/s, ETA 459s
